id,name,description,main_category_id,sub_category_id,gender,size,color,imgurls
2,"Miracle Air Double Jacket | Relaxed Fit","Fabric details\nShell: 100% Polyester/ Liner: 100% Polyester ( 45% Uses Recycled Polyesterr Fiber )/ Pocket Lining Trong: Pocket Lining Under: Outer Layer: Pocket Lining Ngực: Outer Layer: 100% Polyester ( 45% Uses Recycled Polyesterr Fiber )/ Pocket Lining Under: Inner Layer: Pocket Lining Ngực: Inner Layer: 100% Polyester\nFunction details\n- Fit: Relaxed\n- Pockets: With Pockets(Inside pocket(s))\nWashing instructions\nHand wash cold, Dry Clean, Do not tumble dry.",1,7,"Women","S, M, L","Gray, Dark Gray, Black","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474943/item/vngoods_03_474943_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474943/item/vngoods_08_474943_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474943/item/vngoods_09_474943_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/474943/sub/goods_474943_sub13_3x4.jpg?width=369"
3,"Knitted Short Jacket","Fabric details\nBody: 43% Cotton, 30% Acrylic, 22% Polyester, 5% Nylon/ Pocket Lining: 41% Acrylic, 32% Polyester, 27% Cotton\nFunction details\n- Sheer: Not Sheer\n- Fit: Regular\n- Pockets: With Pockets\nWashing instructions\nHand wash cold, Dry Clean, Do not tumble dry.",1,7,"Women","S, M, L, XL","White, Black","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474981/item/vngoods_00_474981_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474981/item/vngoods_09_474981_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/474981/sub/goods_474981_sub14_3x4.jpg?width=369"
4,"Oversized Shirt Coat","Fabric details\nBody: 100% Cotton/ Pocket Lining Under: Outer Layer: Trim: 80% Polyester, 20% Cotton/ Pocket Lining Under: Inner Layer: 100% Cotton\nFunction details\n- Fit: Oversized\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",1,8,"Women","S, M, L, XL","Olive, Navy","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474941/item/vngoods_57_474941_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474941/item/vngoods_69_474941_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474941/sub/vngoods_474941_sub8_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/474941/sub/goods_474941_sub14_3x4.jpg?width=369"
5,"Light Weight Coat","Fabric details\n100% Cotton\nFunction details\n- Fit: Oversized\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Do not Dry Clean, Do not tumble dry.",1,8,"Women","S, M, L, XL","Black, White","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476940/item/vngoods_09_476940_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476940/item/vngoods_30_476940_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476940/sub/goods_476940_sub12_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476940/sub/goods_476940_sub14_3x4.jpg?width=369"
6,"AIRism Seamless T-Shirt","Fabric details\n78% Polyester, 17% Lyocell, 5% Spandex\nFunction details\n- Fit: Oversized\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Do not Dry Clean, Do not tumble dry.",2,9,"Women","S, M, L, XL","White, Gray, Black, Pink, Khaki","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474415/item/vngoods_00_474415_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474415/item/vngoods_03_474415_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474415/item/vngoods_09_474415_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/474415/sub/goods_474415_sub13_3x4.jpg?width=369"
7,"Pointelle T-Shirt | Henley Neck | Printed","Fabric details\nBody: 100% Cotton/ Rib: 73% Cotton, 27% Polyester\nFunction details\n- Sheer: Not Sheer(Only 01 Off White is slightly sheer)\n- Fit: Very Fitted\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Do not Dry Clean, Do not tumble dry.",2,9,"Women","XS, S, M, L, XL","White, Black","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477607/item/vngoods_01_477607_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477607/item/vngoods_09_477607_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477607/sub/vngoods_477607_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477607/sub/goods_477607_sub14_3x4.jpg?width=369"
8,"Mini Raglan T-Shirt","Fabric details\n96% Cotton, 4% Spandex\nFunction details\n- Sheer: Slightly Sheer\n- Fit: Very Fitted\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",2,9,"Women","XS, S, M, L, XL","Gray, Black","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476602/item/vngoods_03_476602_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/476602/item/vngoods_09_476602_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476602/sub/goods_476602_sub13_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/476602/sub/goods_476602_sub14_3x4.jpg?width=369"
17,"Cotton Gathered Mini Dress","Fabric details\n100% Cotton\nFunction details\n- Sheer: Not Sheer(Only 01 Off White is slightly sheer)\n- Lining: No Lined(Only 01 Off White is lined)\n- Pockets: With Pockets\nWashing instructions\nMachine wash cold, gentle cycle, Dry Clean, Do not tumble dry.",4,14,"Women","S, M, L","Black, Olive","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477737/item/vngoods_09_477737_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477737/item/vngoods_56_477737_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477737/sub/vngoods_477737_sub9_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477737/sub/goods_477737_sub14_3x4.jpg?width=369"
9,"AIRism Cotton T-shirt | Striped","Fabric details\nBody: 53% Cotton, 47% Polyester ( 30% Uses Recycled Polyesterr Fiber )/ Rib: 73% Cotton, 27% Polyester\nFunction details\n- Sheer: Not Sheer\n- Fit: Regular\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, Do not Dry Clean, Do not tumble dry.",2,11,"Unisex","S, M, L, XL","White, Olive, Navy","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477340/item/vngoods_00_477340_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477340/sub/vngoods_477340_sub1_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477340/item/vngoods_69_477340_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/477340/sub/goods_477340_sub13_3x4.jpg?width=369"
10,"AIRism Cotton T-Shirt","Fabric details\nBody: 53% Cotton, 47% Polyester ( 30% Uses Recycled Polyester Fiber )/ Rib: 73% Cotton, 27% Polyester\nFunction details\n- Sheer: Not Sheer\n- Fit: Oversized\n- Pockets: No Pockets\nWashing instructions\nMachine wash cold, Dry Clean, Do not tumble dry.",2,11,"Unisex","S, M, L, XL","White, Gray, Black, Natural, Dark Green, Blue, Pink","https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/465193/item/vngoods_00_465193_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/465193/sub/vngoods_465193_sub1_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/465193/sub/vngoods_465193_sub7_3x4.jpg?width=369, https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/465193/sub/goods_465193_sub12_3x4.jpg?width=369"
